# number of annotations: 3390
# number of IDs: 27
# %sparse: 19.57

# the sum and mean counts per row
                  sum     mean
4.1.1.98     21513.42   796.79
1.4.1.3      21495.36   796.12
2.7.10.1     21460.17   794.82
2.3.1.191    21414.99   793.15
1.1.1.65     21387.69   792.14
6.3.3.1      21371.86   791.55
2.3.1.16     21266.83   787.66
4.3.1.3      21210.85   785.59
2.7.7.12     21199.30   785.16
1.4.7.1      21149.36   783.31
2.3.1.234    21148.55   783.28
1.1.1.133    21142.40   783.05
4.2.1.75     21064.90   780.18
2.7.7.72     20952.92   776.03
3.2.1.78     20938.55   775.50
2.1.1.192    20880.80   773.36
4.4.1.16     20855.78   772.44
5.1.3.3      20754.65   768.69
6.1.1.2      20708.90   767.00
2.7.8.33     20692.49   766.39
2.7.8.35     20692.49   766.39
1.1.1.42     20689.65   766.28
3.1.6.1      20660.88   765.22
6.2.1.13     20619.49   763.68
2.3.1.29     20618.61   763.65
2.7.6.1      20587.91   762.52
2.4.1.80     20482.08   758.60
2.3.1.61     20437.31   756.94
3.2.2.23     20366.77   754.32
1.1.1.23     20298.42   751.79
1.18.1.2     20219.07   748.85
3.1.3.18     20204.67   748.32
1.19.1.1     20201.30   748.20
1.11.1.6     20160.06   746.67
4.1.99.12    20159.17   746.64
3.6.3.4      20113.52   744.95
1.2.1.70     20106.58   744.69
2.7.1.165    20103.47   744.57
2.4.1.12     20076.88   743.59
2.1.1.201    20055.64   742.80
1.1.1.193    20001.64   740.80
2.1.1.163    19995.39   740.57
4.1.1.36     19995.07   740.56
2.8.4.4      19992.32   740.46
4.2.1.47     19984.72   740.17
4.2.3.4      19957.77   739.18
2.7.7.27     19935.74   738.36
6.3.2.5      19931.15   738.19
2.5.1.10     19881.58   736.35
2.5.1.1      19881.58   736.35
2.7.1.15     19781.67   732.65
2.1.1.176    19644.47   727.57
1.4.3.16     19587.71   725.47
2.3.1.128    19541.06   723.74
2.4.1.15     19533.09   723.45
2.7.1.71     19521.21   723.01
5.4.99.15    19499.92   722.22
6.3.4.5      19382.43   717.87
3.4.13.19    19351.47   716.72
2.4.1.227    19307.20   715.08
1.1.2.6      19257.39   713.24
2.1.1.107    19256.79   713.21
1.17.7.1     19216.60   711.73
1.17.7.3     19216.60   711.73
2.1.1.10     19195.51   710.94
3.1.1.17     19178.06   710.30
4.1.1.32     19127.88   708.44
2.3.1.39     19071.85   706.36
1.5.3.1      19036.48   705.05
3.6.3.27     19031.28   704.86
2.1.1.297    18952.82   701.96
3.5.1.104    18898.80   699.96
3.5.1.16     18790.45   695.94
2.1.3.3      18764.10   694.97
2.1.1.191    18671.23   691.53
2.1.1.77     18650.37   690.75
4.2.3.5      18602.46   688.98
6.3.2.6      18524.63   686.10
5.3.1.6      18505.97   685.41
4.1.1.49     18502.82   685.29
1.4.1.2      18459.25   683.68
1.3.1.9      18457.60   683.61
1.5.5.1      18436.68   682.84
4.2.1.10     18407.54   681.76
2.7.7.9      18406.10   681.71
3.5.4.26     18390.09   681.11
2.7.4.3      18360.37   680.01
2.7.7.89     18348.35   679.57
2.7.7.42     18348.35   679.57
1.1.1.267    18335.77   679.10
2.1.3.2      18297.79   677.70
4.1.99.22    18279.63   677.02
4.1.1.105    18257.65   676.21
4.1.1.28     18257.65   676.21
2.5.1.29     18225.99   675.04
4.2.1.51     18218.07   674.74
2.7.7.2      18199.10   674.04
1.16.3.1     18142.70   671.95
2.7.1.25     18136.16   671.71
3.4.15.5     18079.29   669.60
2.4.1.347    18009.78   667.03
3.5.4.9      17985.56   666.13
1.11.1.10    17966.02   665.41
1.5.1.5      17946.67   664.69
3.2.1.31     17904.70   663.14
1.16.3.3     17896.18   662.82
3.4.23.43    17877.75   662.14
1.1.99.1     17833.54   660.50
2.4.99.17    17752.41   657.50
3.4.13.9     17734.96   656.85
1.14.19.1    17727.14   656.56
