# number of annotations: 3391
# number of IDs: 27
# %sparse: 19.56

# the sum and mean counts per row
                    sum       mean
enzyme                            
Unclassified  195809787 7252214.33
2.5.1.29          58605    2170.56
2.7.7.12          58602    2170.44
4.2.3.5           58362    2161.56
2.5.1.18          58301    2159.30
2.1.1.201         58299    2159.22
2.1.1.163         58242    2157.11
2.7.8.35          58193    2155.30
2.7.8.33          58193    2155.30
1.1.1.169         58110    2152.22
2.3.1.39          57944    2146.07
2.4.1.12          57795    2140.56
2.7.7.9           57552    2131.56
5.3.1.6           57378    2125.11
2.1.1.176         57167    2117.30
3.1.6.1           57117    2115.44
2.1.3.2           57109    2115.15
3.2.1.31          57022    2111.93
3.5.1.16          56962    2109.70
2.1.1.297         56885    2106.85
1.2.5.1           56789    2103.30
2.3.1.128         56681    2099.30
6.3.2.6           56663    2098.63
3.5.1.104         56653    2098.26
4.2.1.10          56442    2090.44
1.1.2.6           56399    2088.85
4.3.3.6           56347    2086.93
3.5.4.26          56163    2080.11
2.4.1.80          55936    2071.70
1.1.1.267         55815    2067.22
2.7.7.2           55731    2064.11
3.4.21.50         55650    2061.11
1.20.4.1          55586    2058.74
4.1.99.22         55553    2057.52
2.7.7.27          55469    2054.41
1.3.1.9           55453    2053.81
2.5.1.3           55450    2053.70
2.1.1.191         55219    2045.15
2.7.1.5           54947    2035.07
1.2.1.39          54917    2033.96
2.3.1.16          54911    2033.74
2.4.1.15          54799    2029.59
2.7.4.3           54583    2021.59
4.2.1.8           54467    2017.30
3.4.23.43         54402    2014.89
3.5.4.9           54377    2013.96
1.3.1.12          54347    2012.85
1.5.1.5           54307    2011.37
3.4.13.19         54301    2011.15
2.1.1.10          54257    2009.52
2.8.1.13          54190    2007.04
2.7.1.25          54150    2005.56
1.3.98.1          54093    2003.44
3.5.1.81          54022    2000.81
2.5.1.75          54001    2000.04
1.1.1.86          53883    1995.67
4.2.1.51          53791    1992.26
3.1.1.17          53754    1990.89
2.7.8.13          53653    1987.15
2.4.99.17         53361    1976.33
3.4.24.40         53327    1975.07
2.7.7.89          53075    1965.74
2.7.7.42          53075    1965.74
1.4.1.1           52744    1953.48
5.4.99.25         52698    1951.78
2.1.1.77          52680    1951.11
2.4.2.29          52658    1950.30
1.2.7.12          52653    1950.11
1.3.1.14          52609    1948.48
2.7.3.9           52449    1942.56
3.6.3.29          52347    1938.78
3.4.15.5          52343    1938.63
3.5.1.42          52291    1936.70
1.5.5.1           52240    1934.81
2.5.1.15          52230    1934.44
1.1.1.37          52204    1933.48
2.7.1.26          52177    1932.48
4.1.1.32          52160    1931.85
1.2.1.38          52035    1927.22
2.8.4.5           51905    1922.41
5.4.99.22         51794    1918.30
6.3.1.5           51554    1909.41
1.16.3.1          51531    1908.56
2.7.1.39          51433    1904.93
5.4.99.15         51433    1904.93
3.4.11.18         51349    1901.81
4.1.3.1           51307    1900.26
3.6.3.34          51299    1899.96
4.1.1.23          51222    1897.11
1.17.99.6         51129    1893.67
2.7.1.23          50951    1887.07
2.4.1.347         50922    1886.00
3.1.3.1           50901    1885.22
6.4.1.1           50736    1879.11
2.1.1.137         50705    1877.96
2.4.99.14         50650    1875.93
2.4.99.12         50650    1875.93
2.4.99.15         50650    1875.93
2.4.99.13         50650    1875.93
2.7.1.6           50316    1863.56
3.4.13.9          50264    1861.63
6.6.1.1           50060    1854.07
1.2.1.18          49852    1846.37
1.2.1.27          49852    1846.37
5.3.1.23          49810    1844.81
4.1.2.48          49749    1842.56
2.3.1.241         49728    1841.78
1.4.1.4           49675    1839.81
5.4.99.12         49558    1835.48
2.1.1.199         49555    1835.37
1.4.1.2           49424    1830.52
2.3.1.35          49348    1827.70
4.2.1.49          49190    1821.85
2.1.1.182         49119    1819.22
2.3.1.30          49093    1818.26
1.11.1.10         49032    1816.00
1.16.3.3          49011    1815.22
4.99.1.12         48896    1810.96
4.1.1.28          48857    1809.52
4.1.1.105         48857    1809.52
5.5.1.4           48857    1809.52
1.1.1.219         48781    1806.70
2.7.1.45          48781    1806.70
4.1.99.17         48779    1806.63
2.8.1.8           48575    1799.07
2.7.10.1          48565    1798.70
2.4.2.10          48555    1798.33
6.5.1.6           48497    1796.19
6.5.1.7           48497    1796.19
2.7.1.16          48460    1794.81
6.1.1.18          48448    1794.37
1.3.3.15          48414    1793.11
1.3.3.4           48414    1793.11
1.14.19.1         48339    1790.33
1.17.1.10         48259    1787.37
1.11.1.21         48044    1779.41
4.1.2.4           47991    1777.44
1.5.3.1           47916    1774.67
2.7.4.25          47916    1774.67
